CUSTOMER_ID,ORDER_ID,item1,item2,item3,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
997177535,9351345556,Chicken Sub Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,Digital,WWT,ToGo
345593831,3595377080,Regular Buffalo Fries,10 pc Spicy Wings,3 pc Crispy Strips Combo,Digital,WWT,ToGo
160955031,4071757785,Large Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Regular,Digital,WWT,ToGo
890671991,3931766769,6 pc Grilled Wings Combo,20 pc Grilled Wings,Fried Corn - Large,Digital,WWT,ToGo
73989021,3739700809,Regular Buffalo Fries,20 pc Grilled Wings,Ranch Dip - Large,Digital,WWT,ToGo
965629024,1160484742,3 pc Crispy Strips Combo,Chicken Sub Combo,Chicken Sub,Digital,WWT,ToGo
554043002,3507129215,10 pc Spicy Wings,Ranch Dip - Regular,Veggie Sticks Spicy,Digital,WWT,ToGo
908406400,2494847505,Ranch Dip - Regular,Add 5 Spicy Wings,8 pc Spicy Wings Combo,Digital,WWT,ToGo
680349080,9679605865,Fried Corn - Regular,Chicken Sub,Ranch Dip - Regular,Digital,WWT,ToGo
123249698,8053157007,20 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,Digital,WWT,ToGo
847896994,1472986083,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Chicken Sub Combo,Digital,WWT,ToGo
92774953,5119671888,15 pc Spicy Wings Combo,5 pc Crispy Strips Combo,Voodoo Fries - Regular,Digital,WWT,ToGo
496794905,71920208,2 pc Crispy Strips,6 pc Grilled Wings Combo,10 pc Spicy Wings,Digital,WWT,ToGo
432013277,6921313413,Ranch Dip - Regular,6 pc Spicy Wings Combo,Fried Corn - Large,Digital,WWT,ToGo
330944162,1458039332,30 pc Family Grilled Wings,2 pc Crispy Strips,Ranch Dip - Regular,Digital,WWT,ToGo
665934240,8599974689,Honey Mustard Dip - Regular,Large Buffalo Fries,Chicken Sub,Digital,WWT,ToGo
390525242,3813306858,3 Strips Lunch,10 pc Grilled Wings,5 pc Crispy Strips Combo,Digital,WWT,ToGo
657511802,6103196605,Add 5 Grilled Wings,8 pc Grilled Wings Combo,20pc Spicy Feast Deal,Digital,WWT,ToGo
488888638,1733472163,10 pc Grilled Wings,10 pc Spicy Wings,Ranch Dip - Regular,Digital,WWT,ToGo
890212956,9115730530,Chicken Sub,Ranch Dip - Regular,10 pc Grilled Wings Combo,Digital,WWT,ToGo
285598610,6675277727,2 pc Crispy Strips,Ranch Dip - Large,10 pc Grilled Wings,Digital,WWT,ToGo
948060334,786744543,Honey Mustard Dip - Regular,20 pc Grilled Wings,Cheese Fries - Large,Digital,WWT,ToGo
560251967,3897845188,20pc Spicy Feast Deal,Ranch Dip - Regular,2 pc Crispy Strips,Digital,WWT,ToGo
985597830,4587042437,Regular Buffalo Fries,20 Oz Soda,Ranch Dip - Regular,Digital,WWT,ToGo
890080832,3772126021,10 pc Spicy Wings,Ranch Dip - Regular,Chicken Sub Combo,Digital,WWT,ToGo
475221027,9876633715,2 pc Crispy Strips,6 pc Mixed Wings Combo,8 pc Grilled Wings Combo,Digital,WWT,ToGo
322821945,5581851889,Voodoo Fries - Regular,Ranch Dip - Regular,Chicken Sub,Digital,WWT,ToGo
577481561,2603279335,4 pc Crispy Strips,15 pc Grilled Wings,Fried Corn - Regular,Digital,WWT,ToGo
